RunName,SpoligoType(MiruHero),SpoligoType(Spotyping),MiruType(MiruHero),MiruType(mirureader),Lineage(MiruHero),Lineages(tb-profiler),Resistance(tb-profiler),Family(SpolLineages)
GCA_001381295.1_7769_8_75_genomic,000000000003771,000000000003771,232224123223211231112122,212-32222223224123322312,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001393375.1_6540_4_23_genomic,000301700400011,000301700400011,11-121-122-2311--1-21112,1021221-2-32222012222-11,East-African Indian,lineage1.2.2,ND,Unknown
GCA_001378975.1_7755_5_62_genomic,000000000003771,000000000003771,222224131221211221122122,212-12232223224131322212,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001384035.1_7755_4_34_genomic,000000000003771,000000000003771,213122122321212411122112,213113132-23222122232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001384375.1_7156_6_2_genomic,000000000003771,000000000003771,212222142222212221112122,213122222-23222142322212,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001385335.1_7769_8_85_genomic,000000000003771,000000000003771,232222121321211411122112,212-12232323222121232-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001382235.1_7769_8_95_genomic,000000000003771,000000000003771,212222122322212231312112,2-3122222223222122232312,East Asian,lineage2.2.1,ND,Beijing
GCA_001396915.1_6174_8_4_genomic,000000000000000,000000000000000,1-1112--2111--11--12-11-,--2-1-13-1--2-20-2------,Cannot be determined,lineage4,ND,ATYPICAL
GCA_001392015.1_6540_5_19_genomic,001702007240040,001702007240040,1111121112-111-1--1-1--1,111111111--2022111121--1,Euro-American,lineage4.1.1.3.1,ND,LAM
GCA_001395915.1_7054_2_68_genomic,700157400001351,700157400001351,1121221112-11111111-11-1,112112112111222111121111,East-African Indian,lineage3.1.1,ND,CAS
GCA_001388435.1_8987_4_20_genomic,000000000001771,000000000001771,11-2221224-231----1111-1,111121222-322221221-1-01,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001393695.1_6540_3_3_genomic,702300000000171,702300000000171,1--1111112-1-------11--1,101012121--21111-1121--1,East-African Indian,lineage3,ND,CAS
GCA_001379615.1_7755_2_17_genomic,000000000003771,000000000003771,2122241223211124-1112222,213112222-13324122332--2,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001393975.1_6570_5_8_genomic,777777757760771,777777757760771,2221221122221-21-12111-2,223222122112212112122-12,Euro-American,lineage4.8.2,ND,T5
GCA_001388815.1_8987_4_42_genomic,000000000003761,000000000003761,11-2111121-11-111-1111-1,112112221-11211112111101,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001379015.1_7841_7_86_genomic,777777607760771,777777607760771,112223132322211221113-12,112122222224123132232212,Euro-American,lineage4.3.3,streptomycin(R),LAM9
GCA_001392195.1_6540_6_20_genomic,776350007740330,776350007740330,1-12211111-12--1-11111-1,111011222-222111-1111-11,Euro-American,lineage4.1.1.3,ND,S
GCA_001397875.1_6174_1_3_genomic,755777757260761,755777757260761,1-21-11-112111-1-1--1--1,101012111-1-121111-11--2,Euro-American,lineage4.8.2,ND,T5
GCA_001393735.1_6540_6_1_genomic,400000300000000,400000300000000,1-21121-12211--1-1121--1,111011131--211-121121-12,East-African Indian,lineage1.1.2,ND,BOV
GCA_001387735.1_8987_4_75_genomic,000000000002371,000000000002371,11-1221422-13--1--111-12,111112122-32112132222-01,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001397955.1_6174_1_10_genomic,000000000000000,000000000000000,31-121-311-2111-1-1---22,212122112-11121021-1-121,Cannot be determined,lineage3.1.2.1,streptomycin(R),ATYPICAL
GCA_001394255.1_6570_7_6_genomic,777777777760771,777777777760771,2211211112221121112121-2,223221122113221111122112,Euro-American,lineage4.1.2.1,ND,T1
GCA_001387635.1_8898_8_72_genomic,217331677760721,217331677760721,11-1221112211--12-1-11-2,111111112112212111122202,Euro-American,lineage4,streptomycin(R),T3
GCA_001384435.1_7769_7_7_genomic,777777777760771,777777777760771,2122241212221112211-2122,212122222213224121322212,Euro-American,lineage4.8,ND,T1
GCA_001379895.1_7156_7_50_genomic,000000000003771,000000000003771,212222131322212211121112,213122232222222131232-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001378215.1_6954_1_90_genomic,777775774020771,777775774020771,212222152321211231111112,212112222222222152232312,Euro-American,lineage4.1.2.1,ND,H1
GCA_001381915.1_7755_5_95_genomic,000000000003771,000000000003771,212222121322212111422112,243122232123222121232-12,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001379415.1_7755_2_23_genomic,000000000003771,000000000003771,212224122222312421122122,213122232-33224122322--2,East Asian,lineage2.2.1,ND,Beijing
GCA_001386215.1_7935_3_50_genomic,000000000003771,000000000003771,213222131222212411121112,213123232-22222131222-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001390155.1_8898_8_55_genomic,000000000003571,000000000003571,21112212212211-1--111--2,211121122-12122122112-02,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001380275.1_7769_7_1_genomic,777777777760771,777777777760771,212124123323212222212112,223132122223224123232-22,Euro-American,lineage4.8,ND,T1
GCA_001386035.1_7314_8_78_genomic,000000000003771,000000000003771,212222121323211311322112,2-2132232-23222121232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001382255.1_7841_6_7_genomic,000000000003771,000000000003771,212225122321212411112113,213112222-23225122233-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001384835.1_7769_8_64_genomic,000000000003771,000000000003771,222222141321211421211112,222212222-22222141232212,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001391355.1_6540_5_10_genomic,177760000000171,177760000000171,1-121211112121-1-1111--1,111011221-221221-1111-12,Euro-American,lineage4.6.2.2,isoniazid(R),Unknown
GCA_001391895.1_7054_1_19_genomic,701135740003730,701135740003730,1131211212-2-11-1-1----2,112123112--1121121122101,East-African Indian,lineage3,ND,CAS
GCA_001386235.1_7935_3_53_genomic,774777777020771,774777777420771,213222113221211221111112,212113222222222113222212,Euro-American,lineage4.2.1,isoniazid(R),H3
GCA_001379435.1_7156_7_63_genomic,777777774020771,777777774020771,213212152222211422111222,212123221-22322152322--2,Euro-American,lineage4.1.2.1,rifampicin(R),H1
GCA_001381895.1_7156_6_16_genomic,000000000003771,000000000003771,213222122321211221212112,222113222223222122232212,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001394015.1_6540_2_14_genomic,673760000040240,673760000040240,1--1121222211111-11-1--2,112013111-12122122122-12,Euro-American,lineage4.8.2,ND,LAM-RUS
GCA_001389055.1_8898_8_32_genomic,444600000000551,444600000000551,1-11231111-21-12--311--1,1-2021122212113111111-01,Euro-American,lineage4.3.3,ND,Unknown
GCA_001384715.1_7755_4_21_genomic,000000000003771,000000000003771,232224122223211411111122,212-32222-22224122322-12,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001385995.1_7755_5_57_genomic,000000000003771,000000000003771,222224122221212411121112,213-12232-22224122222-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001392535.1_7054_1_20_genomic,703115340001171,703115340001171,2--111111221--1--1311111,232011121--22111-1221-22,East-African Indian,lineage3,ND,CAS
GCA_001390655.1_8987_4_80_genomic,763773276473771,763773276473771,21-1111112-111-111111112,2111121211-2211111222111,Cannot be determined,lineage1.1.1.1,ND,Manu1
GCA_001384775.1_7156_6_26_genomic,777777777760471,777777777760471,213212142221211311112122,212113221-23222142322-12,Euro-American,lineage4.1.2,ethionamide(R),T1
GCA_001383095.1_7769_7_15_genomic,000000000003771,000000000003771,212222123322212431122114,213122232-2322212323--12,East Asian,lineage2.2.1,ND,Beijing
GCA_001384535.1_7755_4_22_genomic,000000000003771,000000000003771,212225122322212411212113,223122222-23225122233--2,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001396935.1_6174_8_5_genomic,760000000000000,760000000000000,1-1-1---22-111-1--111--1,111011121-14122022121-01,Euro-American,lineage4.3.3,ND,Unknown
GCA_001389155.1_8898_8_9_genomic,000000000003770,000000000003770,1--1121112211111---1-111,102012121-11222121221-02,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001385675.1_7769_8_81_genomic,774777767423771,774777767423771,223225134322411231223212,2222232322223251342323-2,Cannot be determined,lineage2.2.1,rifampicin(R),Manu2
GCA_001395655.1_6540_8_9_genomic,000000376000021,000000376000021,1111121113-21--1--111-11,1111211-1-12112111231-01,Euro-American,lineage1.1.2,ND,Unknown
GCA_001391635.1_6540_5_21_genomic,600000000000031,600000000000031,1-1111-112-131111-11---1,11201-121-311210111211-1,East-African Indian,lineage3.1.1,ND,mungi
GCA_001395895.1_6570_7_16_genomic,600016777760771,600016777760771,2211111112221-11112111-2,2222211211122111-1122112,Euro-American,lineage4.1.1.3,ND,X1
GCA_001394275.1_6540_1_23_genomic,740000000100031,740000000100031,2-1112-121212--1----11-2,2-1012111-22212112112-02,Euro-American,lineage4.8.2,ND,Unknown
GCA_001384935.1_7755_3_95_genomic,000000000003771,000000000003771,212222122221212221121122,213112232222222122322212,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001384915.1_7314_8_71_genomic,000000000003771,000000000003771,212224123222312421222122,223122232-332241233222-2,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001388535.1_8939_3_78_genomic,000000000003771,000000000003771,1-1212-223211--1--1111-1,111011221-12212022131-02,East Asian,lineage2.2.1,ND,Beijing
GCA_001389495.1_8898_8_5_genomic,000000000003771,000000000003771,1131221111-11-11--1--112,112112112-11212121212-01,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001395555.1_6540_1_15_genomic,600002770000000,600002770000000,2--1111122-11-11--1-1--1,-02012111-12111112121-01,Euro-American,lineage4.1.1,ND,BOV
GCA_001385215.1_7755_2_25_genomic,777777777760471,777777777760471,212222141321211421111212,212112222-223221412322-2,Euro-American,lineage4.1.2,ethionamide(R),T1
GCA_001380755.1_7156_6_14_genomic,000000000003771,000000000003771,213222122322212221112112,213123222-23222122232-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001379495.1_7769_7_48_genomic,777777777760771,777777777760771,212125122321212221111122,213112122222225122332-12,Euro-American,lineage4.8,ND,T1
GCA_001380995.1_7314_8_83_genomic,000000000003771,000000000003771,212212122323212421122112,213132231-23222122232-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001382315.1_7755_2_6_genomic,770000770060771,770000770060771,21211315122-211231111112,2121021212222231-12223-2,Euro-American,lineage4.8,ND,T1-RUS2
GCA_001392795.1_6540_2_6_genomic,602604000040611,602604000040611,1-1122-211212-1---11---2,112011122-2111-021112-02,Euro-American,lineage4.8.2,ND,T1
GCA_001380355.1_7769_7_2_genomic,000000000003771,000000000003771,232222131322211431111212,212-22222-22322131232312,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001387955.1_8898_8_50_genomic,736357777320520,736357777320520,2-21221222-12-11--111--1,21201212212212212212--01,Euro-American,lineage4.8,ND,H3
GCA_001379315.1_7755_5_65_genomic,000000000003771,000000000003771,212222141322213121111112,21-122222122222141232212,East Asian,lineage2.2.1,ND,Beijing
GCA_001385115.1_7769_8_87_genomic,000000000003771,000000000003771,233222122321211411111112,212-13222-22222122232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001392455.1_7054_1_14_genomic,602167700002761,602167700002761,1--1221312-221111121-1-2,1220211221212221-1122111,East-African Indian,lineage3,ND,Unknown
GCA_001382455.1_7755_2_8_genomic,000000000003771,000000000003771,212222131322211411121112,212122232322222131232--2,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001378635.1_7755_3_70_genomic,000000000003771,000000000003771,213212121321212311122112,213113231-23222121232--2,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001396895.1_6174_8_3_genomic,640614370040300,640614370040300,1-1111-111--1--11------1,101011111111111011111101,Euro-American,lineage4.2.2,ND,T1
GCA_001387155.1_8987_5_20_genomic,000000000003251,000000000003251,11-1211221211111--1---12,112112112-11121122212-02,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001392095.1_6540_7_8_genomic,402362377413031,402362377413031,2112121123-11-11-1121--1,2121112-11121-2122131-11,Indo-Oceanic,lineage1.2.2.2,ND,EAI1-MYS
GCA_001390975.1_8987_4_32_genomic,715374777760471,715374777760471,2-2222-222-12114--1---11,212012212-21122022221-01,Euro-American,lineage4.1.2,ethionamide(R),T1
GCA_001386835.1_8898_8_69_genomic,000000000001351,000000000001351,2--1111212-21-----1-1--1,211022111--2111121121-01,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001393315.1_6570_8_18_genomic,777777407760771,777777407760771,2211131123221-12-1312113,2322211212132131-2233-12,Euro-American,lineage4.3.1.1,ND,LAM9
GCA_001387575.1_8987_4_92_genomic,000000000000521,000000000000521,2112111122221--1--111112,211121221-12211112222--2,East Asian,lineage2.2.1,ND,Beijing
GCA_001395695.1_6570_6_17_genomic,664073774037600,664073774037600,2122211122222121112111-2,223122222122221112122112,M. bovis,La1.8.1,pyrazinamide(R),BOV_2
GCA_001389795.1_8987_5_4_genomic,000000000002231,000000000002231,1--2211114-12-12-11-11-2,112011212-22211111142-11,East Asian,lineage2.2.1,isoniazid(R),Beijing
GCA_001395455.1_7054_2_52_genomic,703035400000271,703035400000271,11-1111112-111111-11--11,1121121211111211112211-1,East-African Indian,lineage3.1.1,ND,CAS
GCA_001386015.1_7841_7_69_genomic,000000000003771,000000000003771,222322151323211222212112,2222323222232221-1232222,East Asian,lineage2.2.1,ND,Beijing
GCA_001389695.1_8939_3_5_genomic,737415536400450,737415536400450,1-31231112221--12-1--111,111023112111213111221202,Euro-American,lineage4.2.1.1,ND,Unknown
GCA_001385255.1_7156_6_22_genomic,000000000003771,000000000003771,213222131223-11-31221222,222133232--2322131322312,East Asian,lineage2.2,ND,Beijing
GCA_001387995.1_8939_3_8_genomic,000000000003771,000000000003771,111111-212211112--11-111,112111121-11221121221-02,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001393915.1_6540_3_4_genomic,703747700003471,703747700003471,2112-1112222--1---11-1-2,21212-22----211---122---,East-African Indian,lineage3,isoniazid(R),CAS
GCA_001378595.1_7841_6_23_genomic,000000000003771,000000000003771,223222141221211421112122,212213222-23222141322--2,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001384555.1_7769_8_61_genomic,777776777760771,777776777760771,212213132222311311211112,222122221-32223132222112,Euro-American,lineage4.1,ND,X1
GCA_001384095.1_7769_7_16_genomic,000000000003771,000000000003771,212222122222212411112222,213122222-23322122322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001390735.1_8939_3_48_genomic,000000000002671,000000000002671,2-2121-222211-11-11---11,212012112-11111022221-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001388695.1_8898_8_75_genomic,000000000003771,000000000003771,1121111121-211-1-1-1---1,101122121-11121112111-11,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001397915.1_6174_1_8_genomic,000000000000011,000000000000011,2-1121-222-11-11111-1--1,212011112-11111022121111,East Asian,lineage3.1.2.1,streptomycin(R),Beijing
GCA_001382395.1_7755_5_51_genomic,000000000003771,000000000003771,213222122321212321122112,213113232-23222122232212,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001395855.1_7054_1_27_genomic,034623337760770,034623337760770,1-122112222211-1--1--1-2,111021212111221122122-02,Euro-American,lineage4,ND,T4
GCA_001387795.1_8898_8_46_genomic,000000000003770,000000000003770,2121221112-11--1--1----2,211112112-11112111122-01,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001389835.1_8898_8_60_genomic,037636606560651,137636606560651,2-21141-22-11--2----1--2,201011111212114122122-01,Euro-American,lineage4.3.4.2,ND,LAM
GCA_001383315.1_7769_7_12_genomic,777777777760771,777777777760771,112222151222211422111112,212122222-22222151222222,Euro-American,lineage4.1.2.1,ND,T1
GCA_001382635.1_7841_7_51_genomic,776177777760771,776177777760771,222122121321111321111114,212212122-1222212123--12,Euro-American,lineage4.8,ND,T1
GCA_001385695.1_7841_7_85_genomic,000000000003771,000000000003771,223225122323211421211113,222233222-222251222332-2,East Asian,lineage2.2.1,ND,Beijing
GCA_001382215.1_7156_6_18_genomic,774777777420771,774777777420771,212225113223212211111112,213132222222225113222112,Euro-American,lineage4.2.1,ND,Ural-1
GCA_001397275.1_6280_3_12_genomic,551703314720041,551703314720041,-11111-2222121-1--112--3,011111121123121022123-02,Euro-American,lineage4.8.2,ND,H3
GCA_001388575.1_8987_4_21_genomic,000000000003731,000000000003731,1-22121221222--1--1-1-12,111022211-2211-122212-02,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001378535.1_7769_7_47_genomic,000000000003771,000000000003771,222222122323211411212123,222232222-23222122333-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001386875.1_8987_4_28_genomic,000000000002471,000000000002471,2-11211121-11--11-112-11,211011122113111112211101,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001393955.1_6540_7_17_genomic,603000000000771,603000000000771,11111-11212121111---11-1,10211-111-222211121111-2,East-African Indian,lineage3.1.1,ND,Unknown
GCA_001381195.1_7755_3_86_genomic,777717777760771,777717777760771,212222132223211222111222,2121322222223221323222-2,Euro-American,lineage4.1.2.1,ND,T1
GCA_001390455.1_8987_5_42_genomic,204755777420711,204755777420711,2141211112-23-113-1----1,212124112131111111121-01,Euro-American,lineage4.2.1,streptomycin(R),Ural-1
GCA_001378375.1_6954_7_35_genomic,777777607760771,777777607760771,112223121221111211113-22,112112222214123121322-12,Euro-American,lineage4.3.3,ethambutol(R),LAM9
GCA_001386355.1_7935_3_49_genomic,000000000003771,000000000003771,213222131222211211212112,222123222223222131222-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001390635.1_8987_5_44_genomic,703374000003160,703374000003160,1111111411-111113-1---12,112111111111122141212301,East-African Indian,lineage3,streptomycin(R),CAS
GCA_001385195.1_7769_8_66_genomic,777777710020771,777777710020771,232222132322311422211212,222-22222-32-221322322-2,Euro-American,lineage4.1.2.1,ND,H3
GCA_001393555.1_6570_5_10_genomic,777777777760771,777777777760771,2212121211221-11--211112,222221221112212121212-02,Euro-American,lineage4,ND,T1
GCA_001391155.1_8939_3_69_genomic,761051605320011,761051605320011,1-111412111311-11--12--1,101031121113124121111101,Euro-American,lineage4.3.3,streptomycin(R),H3
GCA_001380855.1_7755_4_12_genomic,747777770060771,747777770060771,213222122222112421211122,223123222-122221223222-2,Euro-American,lineage4.7,ND,T1
GCA_001397415.1_6221_2_1_genomic,703015400001671,703015400001671,211212112222-11221111112,-121--2212-12221122222-2,East-African Indian,lineage3.1,ND,CAS
GCA_001387895.1_8939_3_7_genomic,000000000003520,000000000003520,211222-122-21111-1111--2,212121222-12122012122-11,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001388055.1_8939_3_9_genomic,000000000001771,000000000001771,111222-111221--1--1--111,111121212-11212111221-02,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001390195.1_8898_8_93_genomic,000000000003751,000000000003751,21-2221611222-122-131112,212122242-222121-1212202,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001385835.1_7841_7_72_genomic,777776777760771,777776777760771,232222122223212222122122,213232232223222122322--2,Euro-American,lineage4.1,ND,X1
GCA_001395875.1_6540_8_21_genomic,776760300000071,776760300000071,1-11211112-131-1--1--1-1,111011112-3-2211-1121-11,Euro-American,lineage4.1.1.3.1,rifampicin(R),Unknown
GCA_001387495.1_8987_4_72_genomic,076556537660111,076556537660111,1111121111212--11-1-1--2,111111111122112111112102,Euro-American,lineage4.1,rifampicin(R),X1
GCA_001379735.1_7841_6_38_genomic,000000000003771,000000000003771,212222131222212311122122,213122232323222131322-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001385635.1_7841_7_73_genomic,000000000003771,000000000003771,212213121322-11-11212112,222122221--3223121232-12,East Asian,lineage2.2.1,ND,Beijing
GCA_001378875.1_7755_3_68_genomic,000000000003771,000000000003771,212215121322212421122112,213122231-23225121232212,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001383115.1_7156_7_74_genomic,000000000003771,000000000003771,2122221223222124-1111112,213122222-22222122232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001384195.1_7755_4_9_genomic,000000000003771,000000000003771,212222131321211411112212,212112222-23322131232-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001389375.1_8939_3_27_genomic,757777770000000,757777770000000,2-112211222111-11-111--2,211011122112122112122102,Euro-American,lineage4.1.2.1,ND,Unknown
GCA_001393715.1_6540_2_12_genomic,776641753660351,776641753660351,1--1111221211--1--1111-3,111011121112211122113-02,Euro-American,lineage4.8.2,ND,T5
GCA_001389115.1_8898_8_8_genomic,000000000003711,000000000003711,1-22111122211-11-11----1,112012211-11111112121-12,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001397255.1_6280_3_6_genomic,700203400001250,700203400001250,1-1111-121-22-111---1-11,10202-1111221110121111-1,East-African Indian,lineage3.1.1,ethambutol(R),CAS
GCA_001387515.1_8987_5_14_genomic,433700001140350,433700001140350,1-12111221221-11--1-1--1,112021211112111122111-02,Euro-American,lineage4.3.3,ND,T1
GCA_001389595.1_8898_8_7_genomic,000000000003771,000000000003771,1-11121211211-11--1-1111,112011111-12212121211-02,East Asian,lineage2.2.1,streptomycin(R),Beijing
GCA_001396655.1_6174_6_5_genomic,437676417740371,437676417740371,3--22112-2-15112--1-1-11,112017212232021121221-01,Euro-American,lineage4.1.1.3.1,ethambutol(R),X1
GCA_001393295.1_6570_5_22_genomic,703377400001771,703377400001771,221121112122-11111221112,22222-1321-2221112212112,East-African Indian,lineage3.1.1,ND,CAS1-Kili
GCA_001386515.1_7935_3_65_genomic,000000000003771,000000000003771,222222122321211411111112,212212222-22222122232-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001378335.1_6954_7_21_genomic,000000000003771,000000000003771,213222151321312411121122,213113232--222-1-1332-12,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001396815.1_5237_2_3_genomic,202337640002100,202337640002100,2--2131111-11-12--1---11,21201-2112111131-1211--1,East-African Indian,lineage3,ND,Unknown
GCA_001392395.1_6570_8_21_genomic,776377767760771,776377767760771,2221211212221111112-1112,222222112112221121222112,Euro-American,lineage4.4.1.1,ND,S
GCA_001378155.1_6954_8_80_genomic,777777777760471,777777777760471,212212131322211212112212,212122221223322131232--2,Euro-American,lineage4.1.2,ethionamide(R),T1
GCA_001379515.1_7841_6_35_genomic,777777774020771,777777774020771,212222151323211311111212,212132222-22322151232--2,Euro-American,lineage4.1.2.1,isoniazid(R),H1
GCA_001386475.1_7935_3_94_genomic,774777777420771,774777777420771,214124113221312211111212,213114122232324113222112,Euro-American,lineage4.2.1,isoniazid(R),Ural-1
GCA_001391755.1_7054_1_33_genomic,277777757420731,277777757420731,1--1211312212--1--111112,111012122122211121222-02,Euro-American,lineage4.8.2,ND,Ural-1
GCA_001390935.1_8898_8_40_genomic,000000000003371,000000000003371,1121121121-21--1--1-11-1,111122111-13212112111-01,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001394495.1_6570_7_4_genomic,777777777760771,777777777760771,222123152221212111222113,223212132123223152223112,Euro-American,lineage4.1.2.1,ND,T1
GCA_001381995.1_7755_5_96_genomic,777777777760771,777777777760771,2231241222211122-1112122,213-13122213224122322-12,Euro-American,lineage4.8,ND,T1
GCA_001397535.1_6221_3_4_genomic,657701403360251,657701403360251,1--1122212122-11--11---3,112023121121112121123-01,Euro-American,lineage4.3.1.1,ND,T1
GCA_001396195.1_6540_1_11_genomic,400002774000000,400002774000000,1--111--2--12111-11-1--1,112032111123121012121-11,Euro-American,lineage4.1.1,ND,BOV
GCA_001383575.1_7156_6_8_genomic,770000577760771,770000777760771,223125132222211111311122,2-2223122122225132322-12,Euro-American,lineage4.8,ND,T1-RUS2
GCA_001387815.1_8939_3_33_genomic,000000000003771,000000000003771,1--1111212211-11-----111,102012111-11211121221-02,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001381735.1_7841_7_93_genomic,000000000003771,000000000003771,222222122323211432121112,212-32232-22222122232--2,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001395615.1_6570_5_4_genomic,617776777760601,617776777760601,221213121221211211222211,2222112312233231-1221112,Euro-American,lineage4.1.1,ND,X2
GCA_001388995.1_8898_8_80_genomic,760075765760461,760075765760461,1121121111-11--1111-1112,111112111-12212111212-11,Euro-American,lineage4.1.2,rifampicin(R),T1
GCA_001383235.1_7769_7_14_genomic,000000000003771,000000000003771,212222121321112421111122,213112222-12222121332212,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001389315.1_8939_3_71_genomic,664572777000450,664572777000450,214111-112223--11-1111-1,211124121132211011121102,Euro-American,lineage4.2.1,ND,AFRI
GCA_001381935.1_7156_7_93_genomic,777777607760771,777777607760771,112225132222111211113-22,11212222221412-132322-12,Euro-American,lineage4.3.3,rifampicin(R),LAM9
GCA_001381495.1_7755_3_62_genomic,000000000003771,000000000003771,212222122223-11-11212122,222132222--3222122322--2,East Asian,lineage2.2.1,ND,Beijing
GCA_001396055.1_6540_1_24_genomic,700000000000171,700000000000171,211112-112-12--1-1--1--1,201111111-22112011121-11,East-African Indian,lineage4.8.2,ND,CAS
GCA_001392315.1_6540_6_6_genomic,700000000000000,700000000000000,1-1221-1122221-111---1-2,10102-212-21221011122112,East-African Indian,lineage3.1.1,ND,CAS
GCA_001378455.1_7841_7_89_genomic,000000000003771,000000000003771,213212122221212421211122,223113221-22222122322212,East Asian,lineage2.2.1,ND,Beijing
GCA_001395275.1_6540_1_13_genomic,000000014000000,000000014000000,112211-111-11--1--11--11,111112221-111110-1211-01,Euro-American,lineage4.1.1,ND,BOV_4-CAPRAE
GCA_001385375.1_7769_8_84_genomic,774777777420771,774777777420771,224212113222211221112112,21222-221223222113222--2,Euro-American,lineage4.2.1,rifampicin(R),Ural-1
GCA_001379175.1_7841_7_92_genomic,000000000003771,000000000003771,212222122322211421222112,222122232-232221222322-2,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001395055.1_6540_2_9_genomic,446020007220541,466020007220541,1-1112-221222-11---11--2,102021121122112022112-02,Euro-American,lineage4.8.2,ND,H3
GCA_001382795.1_7841_7_49_genomic,000000000003771,000000000003771,232222121322211211121113,212-22232222222121233--2,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001388735.1_8898_8_27_genomic,347777377000171,347777377000171,1112121212211-122-1--1-2,112111221211212121122202,Euro-American,lineage4.8,ND,Unknown
GCA_001384295.1_7841_7_67_genomic,000000000003771,000000000003771,2232121222311111-1122122,212-13231113222122322-13,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001384275.1_7755_4_25_genomic,000000000003771,000000000003771,212222151322212421112122,213122222-232221-13322-2,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001388295.1_8939_3_32_genomic,000000000002721,000000000002721,2-12221212221111--11--11,212021222-11122121221-02,East Asian,lineage2.2.1,rifampicin(R),Beijing
GCA_001382075.1_7841_6_1_genomic,000000000003771,000000000003771,222212151323211421211112,222-32221-222221-12322-2,East Asian,lineage2.2.1,ofloxacin(R),Beijing
GCA_001393515.1_6540_3_15_genomic,753600000000000,753600000000000,1--121-122-111-1---11--1,101012122112121012121-01,Euro-American,lineage4.1.1.3.1,ND,Unknown
GCA_001388955.1_8898_8_79_genomic,000000000001661,000000000001661,2-1211112121311---111--1,212011221-32221112111-02,East Asian,lineage2.2.1,ND,Beijing
